Feature,Importance
MonthlyIncome,0.13561911528922171
Age,0.12166807979501319
TotalWorkingYears,0.1057261721978301
YearsAtCompany,0.09196500577760762
OverTime_Yes,0.08876584971794545
YearsWithCurrManager,0.0704479812709986
StockOptionLevel,0.0692239521928054
JobSatisfaction,0.06584244516201378
YearsInCurrentRole,0.0654644518858072
JobInvolvement,0.050023464441737046
MaritalStatus_Single,0.023561717955940455
MaritalStatus_Married,0.0183789916261194
JobRole_Sales Executive,0.017136603625051178
JobRole_Laboratory Technician,0.017017466857192177
JobRole_Research Scientist,0.017003570694444112
JobRole_Manufacturing Director,0.012252236199907039
JobRole_Sales Representative,0.011423759694751838
JobRole_Research Director,0.006738036963552662
JobRole_Manager,0.00603971321507062
JobRole_Human Resources,0.005701385436990399
